GEO,REF_DATE,Statistics,UID,VALUE
"Upper Ottawa Valley (Laurentian Hills), Ontario, Ontario Provincial Police, municipal [35173]",2006,Crime severity index,413,2.55
"Lanark County (Lanark Highlands), Ontario, Ontario Provincial Police, municipal [35075]",1999,Crime severity index,199,2.99
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2003,Crime severity index,254,3.93
"Thunder Bay (Thunder Bay South), Ontario, Ontario Provincial Police, municipal [35220]",2013,Crime severity index,400,4.3
"Grenville County (North Grenville), Ontario, Ontario Provincial Police, municipal [35494]",1998,Crime severity index,114,5.16
"Caledon, Ontario, Ontario Provincial Police, municipal [35461]",1998,Crime severity index,33,5.57
"Arnprior, Ontario, Ontario Provincial Police, rural [35120]",2012,Crime severity index,11,6.67
"Sault Ste. Marie (Laird), Ontario, Ontario Provincial Police, municipal [35134]",2014,Crime severity index,350,8.18
"Sault Ste. Marie (Laird), Ontario, Ontario Provincial Police, municipal [35134]",2002,Crime severity index,,8.19
"Grenville County (Augusta), Ontario, Ontario Provincial Police, municipal [35044]",1999,Crime severity index,111,8.28
"Upper Ottawa Valley (Petawawa), Ontario, Ontario Provincial Police, municipal [35169]",2005,Crime severity index,416,8.43
"Sault Ste. Marie (Macdonald/Meredith), Ontario, Ontario Provincial Police, municipal [35132]",2013,Crime severity index,351,8.59
"South Bruce (Brockton), Ontario, Ontario Provincial Police, municipal [35145]",2003,Crime severity index,362,9.13
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2007,Crime severity index,,11.24
"Temiskaming (Temiskaming Shores), Ontario, Ontario Provincial Police, municipal [35241]",2016,Crime severity index,394,11.41
"Thunder Bay (Thunder Bay South), Ontario, Ontario Provincial Police, municipal [35220]",2016,Crime severity index,,11.65
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2009,Crime severity index,,11.79
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2014,Crime severity index,,11.89
"West Grey, Ontario, municipal [35088]",2002,Crime severity index,425,12.57
"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal [35129]",2014,Crime severity index,64,12.95
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2011,Crime severity index,,13.19
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2020,Crime severity index,308,13.2
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2013,Crime severity index,,13.59
"Collingwood (The Blue Mountains), Ontario, Ontario Provincial Police, municipal [35135]",2002,Crime severity index,50,13.65
"Northumberland (Hamilton), Ontario, Ontario Provincial Police, municipal [35170]",2015,Crime severity index,265,13.65
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2017,Crime severity index,,13.72
"Arnprior, Ontario, Ontario Provincial Police, rural [35120]",2007,Crime severity index,,13.84
"Lanark County (Beckwith), Ontario, Ontario Provincial Police, municipal [35043]",2014,Crime severity index,196,13.92
"Upper Ottawa Valley (Laurentian Hills), Ontario, Ontario Provincial Police, municipal [35173]",2008,Crime severity index,,13.99
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2019,Crime severity index,,14
"Lanark County (Beckwith), Ontario, Ontario Provincial Police, municipal [35043]",2015,Crime severity index,,14.1
"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal [35160]",2015,Crime severity index,63,14.26
"Anishinabek, Ontario, municipal [35006]",2000,Crime severity index,8,14.45
"West Grey, Ontario, municipal [35088]",2001,Crime severity index,,14.72
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2016,Crime severity index,,14.93
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2016,Crime severity index,,15.15
"Northumberland (Hamilton), Ontario, Ontario Provincial Police, municipal [35170]",2020,Crime severity index,,15.35
"Huron (Goderich), Ontario, Ontario Provincial Police, municipal [35493]",1998,Crime severity index,154,15.36
"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal [35026]",2014,Crime severity index,66,15.38
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2013,Crime severity index,,15.44
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2015,Crime severity index,336,15.54
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2005,Crime severity index,,15.55
"Northumberland (Alnwick/Haldimand), Ontario, Ontario Provincial Police, municipal [35091]",2016,Crime severity index,262,15.55
"LaSalle, Ontario, municipal [35388]",2014,Crime severity index,190,15.66
"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal [35129]",2015,Crime severity index,,15.79
"Lanark County (Beckwith), Ontario, Ontario Provincial Police, municipal [35043]",2018,Crime severity index,,15.83
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2017,Crime severity index,,15.89
"Middlesex (Thames Centre), Ontario, Ontario Provincial Police, municipal [35201]",2010,Crime severity index,235,15.9
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2012,Crime severity index,,15.98
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2018,Crime severity index,,16.15
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2019,Crime severity index,,16.21
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2008,Crime severity index,,16.23
"Central Hastings (Stirling-Rawdon), Ontario, Ontario Provincial Police, municipal [35273]",2018,Crime severity index,39,16.33
"Thunder Bay (Thunder Bay South), Ontario, Ontario Provincial Police, municipal [35220]",2017,Crime severity index,,16.38
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2006,Crime severity index,,16.54
"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal [35161]",2014,Crime severity index,65,16.71
"Dufferin (Town of Grand Valley), Ontario, Ontario Provincial Police, municipal [35119]",2014,Crime severity index,69,16.76
"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal [35160]",2014,Crime severity index,,16.84
"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal [35129]",2020,Crime severity index,,16.98
"Grey Bruce (Grey Highlands), Ontario, Ontario Provincial Police, municipal [35100]",2000,Crime severity index,118,17
"Amherstburg, Ontario, municipal [35007]",2012,Crime severity index,6,17
"Amherstburg, Ontario, municipal [35007]",2014,Crime severity index,,17.11
"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal [35161]",2015,Crime severity index,,17.18
"Deep River, Ontario, municipal [35078]",2017,Crime severity index,55,17.2
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2010,Crime severity index,,17.28
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2014,Crime severity index,,17.43
"Lanark County (Beckwith), Ontario, Ontario Provincial Police, municipal [35043]",2013,Crime severity index,,17.46
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2006,Crime severity index,,17.5
"Armstrong, Ontario, Ontario Provincial Police, rural [35687]",2006,Crime severity index,9,17.68
"Grey Bruce (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal [35138]",2013,Crime severity index,117,17.69
"Peterborough County (Asphodel-Norwood), Ontario, Ontario Provincial Police, municipal [35018]",2018,Crime severity index,306,17.78
"Deep River, Ontario, municipal [35078]",2016,Crime severity index,,17.89
"Essex County (Kingsville), Ontario, Ontario Provincial Police, municipal [35508]",2014,Crime severity index,90,17.94
"Upper Ottawa Valley (Petawawa), Ontario, Ontario Provincial Police, municipal [35169]",2015,Crime severity index,,17.94
"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal [35160]",2017,Crime severity index,,17.94
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2013,Crime severity index,,18.22
"Grenville County (Merrickville-Wolford), Ontario, Ontario Provincial Police, municipal [35045]",2020,Crime severity index,113,18.3
"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal [35161]",2017,Crime severity index,,18.31
